School,Nickname,City,State,Enrollment,Conference
Texas,Longhorns,Austin,TX,"51,991",SEC
Texas A&M,Aggies,College Station,TX,"72,530",SEC
Texas State,Bobcats,San Marcos,TX,"37,864",Sun Belt
Texas Tech,Red Raiders,Lubbock,TX,"40,542",Big 12
Toledo,Rockets,Toledo,OH,"17,045",MAC
Troy,Trojans,Troy,AL,"14,901",Sun Belt
Tulane,Green Wave,New Orleans,LA,"13,127",American
Tulsa,Golden Hurricane,Tulsa,OK,"3,832",American
UAB,Blazers,Birmingham,AL,"22,289",American
UCF,Knights,Orlando,FL,"70,406",Big 12
UCLA,Bruins,Los Angeles,CA,"47,516",Big Ten
UConn,Huskies,Storrs,CT,"32,146",Independent
UMass,Minutemen,Amherst,MA,"32,045",Independent
UNLV,Rebels,Las Vegas,NV,"30,679",Mountain West
USC,Trojans,Los Angeles,CA,"49,318",Big Ten
UTEP,Miners,El Paso,TX,"24,003",CUSA
UTSA,Roadrunners,San Antonio,TX,"34,734",American
Utah,Utes,Salt Lake City,UT,"34,464",Big 12
Utah State,Aggies,Logan,UT,"27,426",Mountain West
Vanderbilt,Commodores,Nashville,TN,"13,796",SEC
Virginia,Cavaliers,Charlottesville,VA,"26,026",ACC
Virginia Tech,Hokies,Blacksburg,VA,"37,279",ACC
Wake Forest,Demon Deacons,Winston-Salem,NC,"8,947",ACC
Washington,Huskies,Seattle,WA,"52,439",Big Ten
Washington State,Cougars,Pullman,WA,"29,843",Pac-12
West Virginia,Mountaineers,Morgantown,WV,"25,474",Big 12
Western Kentucky,Hilltoppers,Bowling Green,KY,"16,750",CUSA
Western Michigan,Broncos,Kalamazoo,MI,"19,038",MAC
Wisconsin,Badgers,Madison,WI,"47,932",Big Ten
Wyoming,Cowboys,Laramie,WY,"11,479",Mountain West
